object_id,registration_no,collection,recovery_method,locality,municipality,state_department,country,period,context_id,context_no,context_type,sample_id_object,date_BP_object,date_error_object,sample_id_context,date_BP_context,date_error_context,object_function,representation,representation_gender,forming_method,composite_id,individual_ids,composite_type,no_components,weight,composite_weight,area_of_analysis,method,copper_in_FA,cu,cu_precision,ag,ag_precision,au,au_precision,pt,pt_precision,references
1,O00254,Museo del Oro,Non-archaeological (locality known),Sopó,Sopó,Cundinamarca,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,Seated holding knees,NA,Lost-wax cast with core,NA,NA,NA,NA,NA,NA,NA,mXRF,NA,99.12,2,0.4,2,0.48,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
2,O00261,Museo del Oro,Non-archaeological (locality known),Laguna de Fúquene,Ubaté,Cundinamarca,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,Seated holding knees with child,Female,Lost-wax cast,NA,NA,NA,NA,NA,NA,NA,mXRF,NA,88.24,2,2.06,2,9.7,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
3,O01079,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,Heavily adorned,Male,Lost-wax cast,NA,NA,NA,NA,11.94,NA,NA,mXRF,NA,84.58,2,3.63,2,11.8,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
4,O01115,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,Beta-82924,790,50,NA,NA,NA,Votive figure,Feline - jaguar,NA,Lost-wax cast with core,NA,NA,NA,NA,74.7,NA,NA,XRF,NA,16,0,4,0,80,0,NA,NA,"La Niece, 1998; Plazas, 1998; Uribe Villegas and Martinón-Torres, 2012"
5,O01247,Museo del Oro,Non-archaeological (municipality known),NA,Muzo,Boyacá,Colombia,Muisca,19,O01247-O01252,Offering,Beta-82929,1250,60,Beta-82929,1250,60,Votive figure,NA,NA,Lost-wax cast with core,NA,NA,NA,NA,54.4,NA,NA,XRF,NA,2,0,3,0,95,0,NA,NA,"La Niece, 1998; Plazas, 1998; Uribe Villegas and Martinón-Torres, 2012"
6,O01844,Museo del Oro,Non-archaeological (locality known),Laguna de Fúquene,Fúquene,Cundinamarca,Colombia,Muisca,17,O01843-O01845,Lake,NA,NA,NA,NA,NA,NA,Votive figure,With staff,Male,Lost-wax cast,NA,NA,NA,NA,14.4,NA,NA,mXRF,NA,99.02,2,0.2,2,0.78,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
7,O01878,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,NA,Female,Lost-wax cast with core,NA,NA,NA,NA,5.6,NA,NA,mXRF,NA,99.45,2,0.15,2,0.38,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
8,O01879,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,NA,Female,Lost-wax cast,NA,NA,NA,NA,14.39,NA,NA,mXRF,NA,84.58,2,3.63,2,11.8,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
9,O02065,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast,NA,NA,NA,NA,3.95,NA,NA,mXRF,NA,92.08,2,1.93,2,5.99,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
10,O03192,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,NA,Male,Lost-wax cast,NA,NA,NA,NA,6.35,NA,NA,mXRF,NA,99.23,2,0.16,2,0.61,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
