"","Adornment","Votive figure","Total"
"CARMEN DE CARUPA, CUNDINAMARCA",19,4,23
"GUATAVITA, CUNDINAMARCA",18,4,22
"COLOMBIA, HUILA",19,0,19
"CHIQUINQUIRÁ, BOYACÁ",17,2,19
"CALDAS, BOYACÁ",12,3,15
"FUSAGASUGÁ, CUNDINAMARCA",11,2,13
"MUZO, BOYACÁ",7,3,10
"SOGAMOSO, BOYACÁ",8,0,8
"SESQUILÉ, CUNDINAMARCA",3,5,8
"UBAQUE, CUNDINAMARCA",6,1,7
"GUTIÉRREZ, CUNDINAMARCA",1,5,6
"TUNJA, BOYACÁ",4,1,5
"SOACHA, CUNDINAMARCA",5,0,5
"MONIQUIRÁ, BOYACÁ",5,0,5
"CAJICÁ, CUNDINAMARCA",0,5,5
"BUENAVISTA, BOYACÁ",5,0,5
"TOCANCIPÁ, CUNDINAMARCA",0,4,4
"TENJO, CUNDINAMARCA",0,4,4
"PASCA, CUNDINAMARCA",0,4,4
"COGUA, CUNDINAMARCA",3,1,4
"CHIPAQUE, CUNDINAMARCA",2,2,4
"CHÍA, CUNDINAMARCA",0,4,4
"CABRERA, CUNDINAMARCA",4,0,4
"ZIPAQUIRÁ, CUNDINAMARCA",0,3,3
"YACOPÍ, CUNDINAMARCA",3,0,3
"SUSA, CUNDINAMARCA",3,0,3
"MANTA, CUNDINAMARCA",0,3,3
"JENESANO, BOYACÁ",3,0,3
"AQUITANIA, BOYACÁ",2,1,3
"TENZA, BOYACÁ",2,0,2
"SUTAMARCHÁN, BOYACÁ",2,0,2
"QUETAME, CUNDINAMARCA",1,1,2
"GUASCA, CUNDINAMARCA",0,2,2
"UNKNOWN, CUNDINAMARCA",0,1,1
"TIBANÁ, BOYACÁ",1,0,1
"SUESCA, CUNDINAMARCA",0,1,1
"SUBACHOQUE, CUNDINAMARCA",0,1,1
"SAMACÁ, BOYACÁ",0,1,1
"SABOYÁ, BOYACÁ",0,1,1
"PANDÍ, CUNDINAMARCA",1,0,1
"PACHO, CUNDINAMARCA",1,0,1
"PACHAVITA, BOYACÁ",1,0,1
"LA PALMA, CUNDINAMARCA",1,0,1
"GUATEQUE, BOYACÁ",0,1,1
"GACHANCIPÁ, CUNDINAMARCA",0,1,1
"FUNZA, CUNDINAMARCA",0,1,1
"COTA, CUNDINAMARCA",0,1,1
"Total",170,73,243
